epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,452.699,1.03563,0.62842,0.86147,0.98598,0.9931,0.995,0.64168,1.17817,0.56586,0.8809,0.00019798,0.00019798,0.00019798
136,456.655,1.06252,0.63728,0.85905,0.98772,0.9938,0.995,0.64744,1.17377,0.57001,0.87947,0.000195069,0.000195069,0.000195069
137,461.305,1.04435,0.63418,0.85913,0.98672,0.99151,0.995,0.64396,1.1697,0.56749,0.87845,0.000192158,0.000192158,0.000192158
138,464.189,1.00538,0.61919,0.85757,0.98603,0.98888,0.995,0.64995,1.15301,0.55645,0.87541,0.000189248,0.000189248,0.000189248
139,466.741,1.04248,0.62595,0.86441,0.97989,0.99429,0.995,0.6448,1.15489,0.55324,0.87757,0.000186337,0.000186337,0.000186337
140,469.323,1.02385,0.612,0.86384,0.98493,0.9905,0.995,0.6407,1.16604,0.56086,0.88031,0.000183427,0.000183427,0.000183427
141,472.039,1.0237,0.62601,0.85409,0.98669,0.99025,0.995,0.63219,1.16923,0.56521,0.88059,0.000180516,0.000180516,0.000180516
142,476.447,1.04821,0.64876,0.86688,0.98337,0.992,0.995,0.63868,1.20645,0.5713,0.88561,0.000177605,0.000177605,0.000177605
143,480.438,1.01919,0.61099,0.85691,0.98516,0.98658,0.995,0.64193,1.19688,0.56335,0.88699,0.000174695,0.000174695,0.000174695
144,483.065,1.02165,0.60843,0.86445,0.98301,0.98705,0.995,0.63505,1.20477,0.56686,0.89161,0.000171784,0.000171784,0.000171784
145,485.485,1.02538,0.61299,0.86278,0.98221,0.98922,0.995,0.62718,1.23439,0.57191,0.89659,0.000168874,0.000168874,0.000168874
146,488.179,1.04857,0.62772,0.85064,0.98277,0.99267,0.995,0.63683,1.216,0.57107,0.88919,0.000165963,0.000165963,0.000165963
147,491.304,1.04456,0.60947,0.86713,0.98548,0.99417,0.995,0.65285,1.15106,0.56382,0.87655,0.000163052,0.000163052,0.000163052
148,495.791,1.05331,0.61955,0.85795,0.98612,0.99263,0.995,0.64542,1.15353,0.5642,0.87723,0.000160142,0.000160142,0.000160142
149,498.945,1.02493,0.60974,0.8467,0.98712,0.99138,0.995,0.64335,1.17217,0.56659,0.88048,0.000157231,0.000157231,0.000157231
150,501.558,1.03962,0.6287,0.8592,0.98333,0.9918,0.995,0.64014,1.19717,0.57027,0.88659,0.000154321,0.000154321,0.000154321
151,504.075,0.99602,0.61469,0.85624,0.97965,0.99449,0.995,0.6366,1.16254,0.56617,0.87992,0.00015141,0.00015141,0.00015141
152,506.556,1.01386,0.60273,0.86876,0.98309,0.99282,0.995,0.63627,1.17035,0.57364,0.88036,0.000148499,0.000148499,0.000148499
153,510.543,1.02904,0.61727,0.84957,0.98382,0.99294,0.995,0.63584,1.18425,0.57634,0.88261,0.000145589,0.000145589,0.000145589
154,515.197,0.99177,0.61477,0.86335,0.98234,0.99392,0.995,0.63892,1.19439,0.57126,0.88544,0.000142678,0.000142678,0.000142678
155,517.895,1.00188,0.6143,0.85581,0.97677,0.99442,0.995,0.63644,1.16387,0.5687,0.88022,0.000139768,0.000139768,0.000139768
156,520.403,1.02891,0.61981,0.85461,0.97586,0.99467,0.995,0.64295,1.15853,0.56976,0.87713,0.000136857,0.000136857,0.000136857
157,522.887,1.03663,0.62812,0.85683,0.97896,0.99481,0.995,0.64385,1.16561,0.57039,0.87877,0.000133946,0.000133946,0.000133946
158,525.685,0.98501,0.59429,0.85255,0.98131,0.99554,0.995,0.6383,1.20785,0.57111,0.88717,0.000131036,0.000131036,0.000131036
159,530.374,1.03397,0.60638,0.84947,0.98312,0.99724,0.995,0.6401,1.19422,0.56768,0.88693,0.000128125,0.000128125,0.000128125
160,534.238,1.03487,0.60003,0.85104,0.98796,0.99741,0.995,0.64848,1.17531,0.56337,0.88311,0.000125215,0.000125215,0.000125215
161,536.77,1.01358,0.60089,0.86164,0.98544,0.99735,0.995,0.6476,1.17272,0.56291,0.88273,0.000122304,0.000122304,0.000122304
162,539.292,1.00792,0.6135,0.85489,0.98094,0.99811,0.995,0.64256,1.18719,0.56473,0.88511,0.000119393,0.000119393,0.000119393
